# 스크린캡쳐 매핑 (자동 생성)
# 파일명 | 타임스탬프 | 카테고리 | 컨텍스트

screenshot_001.jpg | 00:52 | 제품 공개 | 欢迎各位来到一家四五梯的新品发布会
screenshot_002.jpg | 01:03 | 제품 공개 | 那么在今年一月 随着一家Turbo系列的发布
screenshot_003.jpg | 03:41 | 제품 공개 | 体验不过关 产品就不发布
screenshot_004.jpg | 03:48 | 스펙 슬라이드 | 它不是参数很强
screenshot_005.jpg | 04:03 | 디자인 | 尤其是在FPS设计类的游戏里面
screenshot_006.jpg | 04:25 | 디자인 | 玩设计游戏就用一家手机
screenshot_007.jpg | 05:25 | 배터리 | 它的性能和续航确实非常不错
screenshot_008.jpg | 05:32 | 비교 | 整个的手感 它的负担相对比较重
screenshot_009.jpg | 05:48 | 제품 공개 | 所以 那么问题就来了
screenshot_010.jpg | 05:56 | 배터리 | 和极致的性能和超强的续航
screenshot_011.jpg | 06:14 | 배터리 | 把性能和续航同时都做到了极致
screenshot_012.jpg | 06:35 | 배터리 | 我们重新定义了小屏手机的性能和续航
screenshot_013.jpg | 06:48 | 제품 공개 | 所以今天我们在这里带来了它的下一代产品
screenshot_014.jpg | 07:26 | 배터리 | 它的续航也变得更持久了
screenshot_015.jpg | 07:55 | 배터리 | 那就是性能续航超越大屏
screenshot_016.jpg | 08:11 | 디자인 | 这一次它的外观长什么样
screenshot_017.jpg | 08:14 | 디자인 | 我想起很多人看过它的外观
screenshot_018.jpg | 08:28 | 디자인 | 我们整体的设计语言呢
screenshot_019.jpg | 08:38 | 디자인 | 我们的设计师希望这款产品
screenshot_020.jpg | 11:42 | 제품 공개 | 可以在发布会结束以后
screenshot_021.jpg | 11:53 | 디자인 | 我们这一次在配色的设计上
screenshot_022.jpg | 12:05 | 디자인 | 第一个颜色白色
screenshot_023.jpg | 12:17 | 디자인 | 第二个颜色
screenshot_024.jpg | 12:31 | 디자인 | 我们再来看第三个颜色
screenshot_025.jpg | 12:36 | 디자인 | 那么这个颜色
screenshot_026.jpg | 12:43 | 디자인 | 那么这三个颜色都非常有质感
screenshot_027.jpg | 13:44 | 디자인 | 这部手机从设计的角度出发
screenshot_028.jpg | 14:08 | 디자인 | 我们在设计上也做了非常多的考量
screenshot_029.jpg | 14:17 | 디자인 | 黄金大R脚的设计
screenshot_030.jpg | 14:30 | 배터리 | 在性能和续航拉满的同时
screenshot_031.jpg | 15:27 | 디자인 | 这一段的外观体验就是
screenshot_032.jpg | 16:16 | 배터리 | 我们的性能和续航
screenshot_033.jpg | 16:23 | 배터리 | 我们要在性能和续航上
screenshot_034.jpg | 16:51 | 스펙 슬라이드 | 那么给它搭配的内存规格
screenshot_035.jpg | 17:11 | 스펙 슬라이드 | 这次1+15T在内存的规格上
screenshot_036.jpg | 17:16 | 스펙 슬라이드 | 我们全系采用了最顶的内存规格
screenshot_037.jpg | 17:28 | 스펙 슬라이드 | 这个就是最顶的内存规格了
screenshot_038.jpg | 17:34 | 스펙 슬라이드 | 那么这种规格
screenshot_039.jpg | 17:44 | 스펙 슬라이드 | 最顶尖的内存规格
screenshot_040.jpg | 18:03 | 스펙 슬라이드 | 搭载了目前小屏手机历史上
screenshot_041.jpg | 20:00 | 비교 | 再看个对比 大家就能感受到了
screenshot_042.jpg | 20:24 | 스펙 슬라이드 | 搭载了165Hz极速高刷的小屏手机
screenshot_043.jpg | 21:23 | 디자인 | 它以前全部的主流设计类游戏
screenshot_044.jpg | 21:39 | 디자인 | 那么除了设计类游戏之外
screenshot_045.jpg | 23:35 | 디자인 | FPS设计类的游戏都能够非常畅快地玩
screenshot_046.jpg | 25:44 | 스펙 슬라이드 | 搭载了行业独家的电竞三星
screenshot_047.jpg | 25:59 | 스펙 슬라이드 | 搭载了我们独家自言的
screenshot_048.jpg | 26:46 | 비교 | 我们可以看到对比
screenshot_049.jpg | 27:49 | 제품 공개 | 也欢迎大家发布结束以后可以去上抽体验
screenshot_050.jpg | 28:39 | 배터리 | 那么聊到续航
screenshot_051.jpg | 28:45 | 배터리 | 电池小 续航也比较短
screenshot_052.jpg | 29:00 | 배터리 | 还在3000多毫安时
screenshot_053.jpg | 29:02 | 배터리 | 部分的手机如果做到4500毫安的话
screenshot_054.jpg | 29:13 | 배터리 | 我们直接把一块6200多毫安时的
screenshot_055.jpg | 29:23 | 배터리 | 小屏手机也可以没有续航焦虑
screenshot_056.jpg | 29:40 | 배터리 | 它的电池容量是多大呢
screenshot_057.jpg | 29:45 | 배터리 | 7500毫安时
screenshot_058.jpg | 29:59 | 배터리 | 这比很多大屏手机的电池还要大了
screenshot_059.jpg | 30:15 | 배터리 | 我们不仅远超了上一代一家十三T的电池容量
